Insolation,"« Si on va doucement, on risque une insolation. »",Malaise causé par une exposition excessive au soleil.,coup de chaleur,Camus — L’Étranger
Disloqué,« …l'évanouissement de Pérez (on eût dit un pantin disloqué)… »,"Qui semble brisé, dont les articulations paraissent se séparer comme celles d’une marionnette. L’image suggère une perte totale de contrôle du corps, une fragilité presque grotesque.","démembré, disjoint, brisé",Camus — L’Étranger
Fautif,"« De toute façon, on est toujours un peu fautif. »","Qui porte une part de responsabilité, même minime. Le mot exprime une culpabilité diffuse, presque existentielle.","coupable, responsable",Camus — L’Étranger
Traversin,« …j'ai cherché dans le traversin l'odeur de sel… »,"Long coussin cylindrique placé en travers du lit. Ici, il devient un réceptacle intime de souvenirs sensoriels.","coussin long, boudin",Camus — L’Étranger
Réclame,« J'y ai découpé une réclame des sels Kruschen… »,"Ancienne forme de publicité imprimée, souvent simple et directe.","annonce, publicité",Camus — L’Étranger
Frêle,« …un petit homme assez frêle… »,"D’apparence fragile, mince, manquant de force physique.","délicat, chétif",Camus — L’Étranger
Canotier,« Il avait un canotier… »,"Chapeau de paille rigide, à bord plat, associé à l’élégance estivale du début du XXᵉ siècle.",chapeau de paille,Camus — L’Étranger
Laqués,« …cheveux laqués et cravate rouge… »,"Enduits de brillantine ou de gel, donnant un aspect lisse et rigide.","lustrés, gominés",Camus — L’Étranger
Sciure,« …balayait de la sciure… »,Poussière de bois utilisée pour absorber les liquides dans les cafés.,"copeaux fins, poussière de bois",Camus — L’Étranger
Pâlir,« …elles ont fait pâlir les premières étoiles… »,"Perdre de son éclat, devenir moins visible.","s’atténuer, s’effacer",Camus — L’Étranger
Connaissements,« …un tas de connaissements… »,Document maritime attestant la prise en charge d’une marchandise.,"bordereau, reçu maritime",Camus — L’Étranger
Fracas,« …un fracas de chaînes et d'explosions. »,"Bruit violent, soudain, chaotique.","vacarme, fracas, tumulte",Camus — L’Étranger
Élan,« …cet élan désordonné de la course… »,"Mouvement impulsif, spontané, presque instinctif.","impulsion, mouvement",Camus — L’Étranger
Voûtée,« …une sorte d’allure voûtée… »,"Dos courbé, posture affaissée.","courbée, arquée",Camus — L’Étranger
Charogne,« Salaud ! Charogne ! »,"Insulte violente ; littéralement, cadavre en décomposition.","ordure, pourriture",Camus — L’Étranger
Magasinier,« …il est “magasinier”. »,Employé chargé de gérer un stock ou un entrepôt.,"manutentionnaire, gestionnaire de stock",Camus — L’Étranger
Stuc,« …un ange en stuc blanc et rose… »,"Matériau imitant le marbre, utilisé pour la décoration.",plâtre décoratif,Camus — L’Étranger
Douteux,« …un pansement assez douteux… »,"Peu fiable, suspect, de mauvaise qualité.","suspect, incertain",Camus — L’Étranger
Mûrir,« …ou je vais te mûrir. »,"Argot : frapper, corriger violemment.","rosser, corriger",Camus — L’Étranger
Tromperie,« …il y avait de la tromperie. »,"Mensonge, dissimulation, duperie.","fraude, mensonge",Camus — L’Étranger
Mont-de-piété,« …une indication du mont-de-piété… »,Institution où l’on engage des objets contre de l’argent.,prêteur sur gages,Camus — L’Étranger
Mèche,« …régler la mèche de la lampe… »,Partie combustible d’une lampe à huile.,"fil, tresse",Camus — L’Étranger
Coït,« …un sentiment pour son coït. »,Acte sexuel.,"rapport, union",Camus — L’Étranger
Maquereau,« …C’est un maquereau. »,"Souteneur, homme vivant de la prostitution d’une femme.",proxénète,Camus — L’Étranger
Guignol,« …un agent n’est pas un guignol. »,"Personne ridicule, clownesque.","pantin, clown",Camus — L’Étranger
Commissariat,« …convoqué au commissariat. »,Poste de police où l’on reçoit les plaintes.,poste de police,Camus — L’Étranger
Fine,« …Raymond m’a offert une fine. »,"Eau-de-vie de qualité, souvent du cognac.","alcool, eau-de-vie",Camus — L’Étranger
Volubilité,« …il a parlé avec volubilité… »,Facilité excessive à parler vite et beaucoup.,"loquacité, bavardage",Camus — L’Étranger
Fourrière,« …aller à la fourrière… »,Lieu où l’on garde les animaux ou véhicules saisis.,"dépôt, fourrière municipale",Camus — L’Étranger
Cloison,« …traversé la cloison… »,Paroi mince séparant deux pièces.,"mur léger, séparation",Camus — L’Étranger
Cabanon,« …dans son cabanon… »,"Petite maison rustique, souvent en bord de mer.","maisonnette, cabane",Camus — L’Étranger
Pigeons,« Il y a des pigeons… »,"Oiseaux urbains, souvent associés à la banalité quotidienne.",colombidés,Camus — L’Étranger
Saccadés,« …gestes saccadés… »,"Mouvement brusque, interrompu, irrégulier.","heurté, convulsif",Camus — L’Étranger
Gousset,« …tiré d’un gousset… »,"Petite poche intérieure, souvent pour une montre.","poche, compartiment",Camus — L’Étranger
Méticuleusement,« …travail méticuleusement… »,"Avec une précision extrême, presque obsessionnelle.","soigneusement, minutieusement",Camus — L’Étranger
Automate,« …gestes précis d’automate… »,"Personne agissant mécaniquement, sans émotion.","machine, pantin",Camus — L’Étranger
Vaudevilles,« …jouait dans les vaudevilles militaires. »,"Comédies légères, souvent musicales.","farces, comédies",Camus — L’Étranger
Furtif,« …d’un geste furtif… »,"Rapide, discret, presque clandestin.","discret, rapide",Camus — L’Étranger
Épatante,« Elle est épatante… »,"Admirable, impressionnante, charmante.","formidable, ravissante",Camus — L’Étranger
Visqueuse,« Elle était toute visqueuse… »,"Collante, gluante, humide.","poisseuse, gluante",Camus — L’Étranger
D’aplomb,« …tombait presque d’aplomb… »,"Verticalement, directement, sans inclinaison.","verticalement, droit",Camus — L’Étranger
Tailladée,« …la bouche tailladée. »,"Coupée profondément, entaillée.","lacérée, fendue",Camus — L’Étranger
Sparadrap,« …du sparadrap au coin de la bouche. »,Bande adhésive médicale.,pansement adhésif,Camus — L’Étranger
Cymbales,« …les cymbales du soleil… »,Métaphore : éclats sonores et violents de lumière.,"éclats, fracas lumineux",Camus — L’Étranger
Glaive,« …la glaive éclatant jailli du couteau… »,"Épée courte ; ici, éclat tranchant du couteau.","lame, épée",Camus — L’Étranger
Vaciller,« …tout a vacillé. »,"Trembler, perdre l’équilibre, chanceler.","trembler, chanceler",Camus — L’Étranger
Inerte,« …un corps inerte… »,"Sans mouvement, sans réaction, comme mort.","immobile, sans vie",Camus — L’Étranger
Juge d’instruction,« …le juge d’instruction… »,Magistrat chargé de mener l’enquête judiciaire.,magistrat enquêteur,Camus — L’Étranger
D’office,« …un avocat d’office. »,Désigné par l’État pour défendre un accusé sans avocat.,commis d’office,Camus — L’Étranger
Insensibilité,« …j’avais fait preuve d’insensibilité… »,"Absence d’émotion, froideur apparente.","apathie, indifférence",Camus — L’Étranger
Taciturne,« …d’un caractère taciturne… »,"Qui parle peu, réservé, silencieux.","silencieux, renfermé",Camus — L’Étranger
Crucifix,« …un crucifix d’argent… »,Croix portant la figure du Christ.,croix sacrée,Camus — L’Étranger
Endurcie,« …une âme aussi endurcie… »,"Devenue insensible, fermée, imperméable à l’émotion.","insensible, dure",Camus — L’Étranger
Antéchrist,« …monsieur l’Antéchrist. »,"Figure opposée au Christ ; ici, insulte religieuse.","impie, ennemi de la foi",Camus — L’Étranger
Répugnances,« …ces répugnances. »,"Rejets instinctifs, dégoûts profonds.","aversions, dégoûts",Camus — L’Étranger
Parloir,« …aller au parloir… »,Salle où les prisonniers reçoivent les visites.,salle des visites,Camus — L’Étranger
Étourdissement,« …une sorte d’étourdissement. »,"Sensation de vertige, de trouble sensoriel.","vertige, trouble",Camus — L’Étranger
Paillasse,« Entre ma paillasse et la planche du lit… »,Matelas rudimentaire rempli de paille.,matelas grossier,Camus — L’Étranger
Invraisemblable,« …elle était invraisemblable. »,"Difficile à croire, improbable.","incroyable, improbable",Camus — L’Étranger
Prétoire,« …regardé encore le prétoire… »,Salle d’audience d’un tribunal.,"tribunal, salle d’audience",Camus — L’Étranger
Narquois,« …un peu narquois. »,"Moqueur, ironique, légèrement insolent.","railleur, moqueur",Camus — L’Étranger
Impartialité,« …diriger avec impartialité… »,"Sans parti pris, sans favoritisme.","neutralité, équité",Camus — L’Étranger
Objectivité,« …considérer avec objectivité. »,"Juger sans préjugés, selon les faits.","neutralité, réalisme",Camus — L’Étranger
Huissier,« …l’huissier a apporté… »,Officier chargé de l’ordre dans le tribunal.,"appariteur, officier de justice",Camus — L’Étranger
Souteneur,« …exerçait le métier de souteneur. »,Homme vivant de la prostitution d’une femme.,proxénète,Camus — L’Étranger
Culpabilité,« …dénonçait la culpabilité… »,État d’être coupable d’un crime.,"faute, responsabilité",Camus — L’Étranger
Mot / expression,Phrase du roman (non réduite),Définition précise,Synonymes littéraires,Auteur / Œuvre
Tripot,"« Sans trop hésiter, il monta l’escalier du tripot désigné sous le nom de numéro 36. »",Lieu de jeu clandestin ou mal famé où l’on joue de l’argent.,"maison de jeu, casino clandestin, antre du jeu","Honoré de Balzac, La Peau de chagrin (1831)"
Convoitise,« ...il entra résolument dans la salle où le son de l’or exerçait une éblouissante fascination sur les sens en pleine convoitise. »,Désir ardent de posséder un bien ou une richesse.,"avidité, cupidité, appétit de possession","Honoré de Balzac, La Peau de chagrin"
Pâmé,« ...la différence qui distingue le mari nonchalant de l’amant pâmé sous les fenêtres de sa belle. »,Transporté par l’émotion amoureuse jusqu’à l’évanouissement symbolique.,"extasié, ravi, éperdu","Honoré de Balzac, La Peau de chagrin"
Prurit,« ...tant il souffrait travaillé par le prurit d’un coup de trente et quarante. »,"Désir obsessionnel et irrépressible ; au sens propre, démangeaison.","obsession, démangeaison morale, manie","Honoré de Balzac, La Peau de chagrin"
Agaçantes,« ...dont les agaçantes roulettes donnent le plaisir de voir couler le sang à flots... »,Qui provoquent l’irritation ou excitent les nerfs.,"irritantes, exaspérantes, énervantes","Honoré de Balzac, La Peau de chagrin"
Grabat,« L’amoureux veut mettre sa maîtresse dans la soie... et la plupart du temps il la possède sur un grabat. »,"Lit misérable, couche rudimentaire.","paillasse, couche, lit de fortune","Honoré de Balzac, La Peau de chagrin"
Chimère,« ...espèce de fou raisonnable qui se consolait de ses misères en caressant une chimère... »,Rêve irréalisable ; illusion séduisante.,"illusion, utopie, fantasme","Honoré de Balzac, La Peau de chagrin"
Lubricité,« La verte vie de la jeunesse y luttait encore avec les ravages d’une impuissante lubricité. »,Appétit excessif des plaisirs charnels.,"luxure, débauche, sensualité excessive","Honoré de Balzac, La Peau de chagrin"
Fanatisme,« ...mais l’Italien saisit avec le fanatisme de la passion une idée qui vint lui sourire... »,Ardeur excessive et aveugle pour une idée ou une passion.,"exaltation, ferveur, enthousiasme excessif","Honoré de Balzac, La Peau de chagrin"
Concupiscence,« Madame Dubarry... paraissait contempler avec concupiscence une chibouque indienne... »,Désir intense de jouissance matérielle ou charnelle.,"désir sensuel, appétit, volupté","Honoré de Balzac, La Peau de chagrin"
Volupté,« Qui pourrait déterminer le point où la volupté devient un mal et celui où le mal est encore la volupté ? »,Plaisir intense des sens ou de l’esprit.,"délice, jouissance, félicité sensuelle","Honoré de Balzac, La Peau de chagrin"
Bacchanale,"« Je veux un dîner royalement splendide, quelque bacchanale digne du siècle... »",Fête bruyante caractérisée par l’excès et la débauche.,"orgie, débauche, festin","Honoré de Balzac, La Peau de chagrin"
Ardentes,« Que la nuit soit parée de femmes ardentes ! »,Animées d’une passion vive et intense.,"passionnées, enflammées, fougueuses","Honoré de Balzac, La Peau de chagrin"
Étreinte,« ...j’ai besoin d’embrasser les plaisirs du ciel et de la terre dans une dernière étreinte pour en mourir. »,Action de serrer étroitement dans ses bras.,"embrassement, enlacement, accolade","Honoré de Balzac, La Peau de chagrin"
Lascivement,"« Sa chevelure noire, lascivement bouclée, semblait avoir déjà subi les combats de l’amour... »",D’une manière sensuelle et séduisante.,"sensuellement, voluptueusement, langoureusement","Honoré de Balzac, La Peau de chagrin"
Chatouilleux,« ...pendant qu’elle aurait passé dans ma chevelure ses doigts chatouilleux. »,Qui provoque une sensation légère et excitante au toucher.,"caressants, effleurants, frémissants","Honoré de Balzac, La Peau de chagrin"
Affolé,« ...la femme m’apparaissait avec tous les problèmes de passion dont je m’étais affolé. »,Troublé jusqu’à perdre sa maîtrise de soi.,"égaré, bouleversé, exalté","Honoré de Balzac, La Peau de chagrin"
Paroxysme,« ...en sorte que ma passion improvisée était arrivée à son paroxysme quand nous nous arrêtâmes devant un péristyle orné de fleurs. »,Point culminant d’un sentiment ou d’une émotion.,"apogée, sommet, comble","Honoré de Balzac, La Peau de chagrin"
Adulée,« Une femme adulée peut-elle croire à l’amour d’un tel homme ? »,Excessivement admirée ou vénérée.,"idolâtrée, célébrée, admirée","Honoré de Balzac, La Peau de chagrin"
Minaudière,« ...dans le manège d’un agent de change qui fait les commissions d’une femme pâle et minaudière... »,Qui affecte des manières coquettes et artificieuses.,"coquette, précieuse, affectée","Honoré de Balzac, La Peau de chagrin"
Vouloir,« Vouloir nous brûle et Pouvoir nous détruit. »,Faculté ou acte de désirer et de décider.,"volonté, désir, intention","Honoré de Balzac, La Peau de chagrin"
Intempérances,"« Là sont vos idées sociales, vos désirs excessifs, vos intempérances, vos joies qui tuent... »",Excès dans les plaisirs ou les comportements.,"excès, démesures, débordements","Honoré de Balzac, La Peau de chagrin"
Sérail,"« Ce sérail offrait des séductions pour tous les yeux, des voluptés pour tous les caprices. »","Palais oriental abritant le harem ; par extension, lieu de plaisirs raffinés.","harem, palais, gynécée","Honoré de Balzac, La Peau de chagrin"
Câlinerie,« ...dit-elle en continuant avec des inflexions de voix pleines de câlinerie... »,Manifestation affectueuse et tendre.,"tendresse, douceur, cajolerie","Honoré de Balzac, La Peau de chagrin"
Pateline,"« N’éprouvant rien près de moi, elle était pateline et non pas affectueuse... »",Douce en apparence mais intéressée ou hypocrite.,"mielleuse, doucereuse, hypocrite","Honoré de Balzac, La Peau de chagrin"
Extase,"« ...les convives, surpris dans un moment de faiblesse, s’abandonnèrent aux délices d’une voluptueuse extase. »",État de bonheur intense et d’élévation des sens.,"ravissement, transport, exaltation","Honoré de Balzac, La Peau de chagrin"
Fascinent,"« ...plus légère que l’oiseau, elle s’abat près de vous et ses terribles yeux fascinent... »",Captivent irrésistiblement l’attention ou la volonté.,"ensorcellent, captivent, subjuguent","Honoré de Balzac, La Peau de chagrin"
Fanatisée,"« Vous voulez passer une seule fois votre main chatouillée, votre main fanatisée sur ce corps de neige... »",Possédée par une passion excessive.,"exaltée, enfiévrée, obsédée","Honoré de Balzac, La Peau de chagrin"
Incandescence,« ...sa sphère brumeuse calmera votre incandescence... »,"Ardeur extrême, physique ou morale.","embrasement, ardeur, effervescence","Honoré de Balzac, La Peau de chagrin"
Exorbitants,"« Je m’imposai donc des travaux exorbitants, je voulus achever mes ouvrages. »",Qui dépassent les limites ordinaires.,"excessifs, démesurés, considérables","Honoré de Balzac, La Peau de chagrin"
Affamée,"« ...trouver grande et forte dans un cœur de femme frivole et légère, affamée de luxe, ivre de vanité... »","Avide, animée d’un désir intense.","avide, assoiffée, insatiable","Honoré de Balzac, La Peau de chagrin"
Aspiration,« ...il assistait aux orgies des Borgia... aspirait aux amours italiennes... »,Tendance profonde vers un idéal ou un désir.,"ambition, désir, élan","Honoré de Balzac, La Peau de chagrin"
Provocantes,"« ...des écharpes légères flottant comme les flammes d’un phare, des turbans orgueilleux, des tuniques modestement provocantes. »",Qui attirent volontairement l’attention ou le désir.,"séduisantes, suggestives, aguichantes","Honoré de Balzac, La Peau de chagrin"
Incisifs,"« Que les vins se succèdent toujours plus incisifs, plus pétillants... »",Qui produisent une impression vive et pénétrante.,"mordants, vifs, pénétrants","Honoré de Balzac, La Peau de chagrin"
Désirables,« ...environnés des plus désirables créations d’un luxe oriental... »,Qui méritent d’être désirés.,"attrayants, séduisants, enviables","Honoré de Balzac, La Peau de chagrin"
Éperdu,« ...et devins éperdument amoureux. »,Qui éprouve une passion intense et incontrôlée.,"passionné, transporté, fou d’amour","Honoré de Balzac, La Peau de chagrin"
Rugissante,« Je veux que la Débauche en délire et rugissante nous emporte dans son char... »,Qui manifeste sa force par un bruit ou une énergie violente.,"tonitruante, déchaînée, furieuse","Honoré de Balzac, La Peau de chagrin"
Échevelées,"« ...il vit les guerres de religion échevelées, bouillantes, cruelles, au fond d’un casque. »","Désordonnées, emportées, sans retenue.","déchaînées, tumultueuses, furieuses","Honoré de Balzac, La Peau de chagrin"
Pétillants,"« ...le front hardi, les yeux pétillants, à ce monde envieux et spéculateur... »",Pleins de vivacité et d’éclat.,"brillants, étincelants, vifs","Honoré de Balzac, La Peau de chagrin"
Flatteries,"« Ne voulant devoir votre amour ni à des grâces de fat, ni à des flatteries ou à des importunités de niais... »",Louanges excessives destinées à plaire.,"compliments intéressés, cajoleries, adulations","Honoré de Balzac, La Peau de chagrin"
Mot / expression,Phrase de l’œuvre (non réduite),Définition précise,Synonymes littéraires,Auteur / Œuvre
Badine,« On ne badine pas avec l’amour. »,"Agir avec légèreté, traiter sans sérieux une chose importante.","plaisanter, folâtrer, se jouer de","Alfred de Musset, On ne badine pas avec l’amour (1834)"
Onction,« Dame Pluche semble être une femme tout à fait pleine d’onction et de componction. »,"Douceur affectée dans le langage ou les manières, souvent liée à une piété ostentatoire.","dévotion, componction, piété affectée","Alfred de Musset, On ne badine pas avec l’amour"
Niaiseries,« Ce temps si doux et si plein de niaiseries délicieuses que nous partagions autrefois. »,Paroles ou actions naïves et puériles.,"enfantillages, naïvetés, puérilités","Alfred de Musset, On ne badine pas avec l’amour"
Fatuité,« Répondez-moi sans modestie feinte ni fatuité. »,Satisfaction excessive de soi-même.,"vanité, suffisance, outrecuidance","Alfred de Musset, On ne badine pas avec l’amour"
Libertin,« Vous n’êtes point un libertin. »,Personne menant une vie de mœurs libres ou dissolues.,"débauché, viveur, séducteur","Alfred de Musset, On ne badine pas avec l’amour"
Inconstants,"« Tous les hommes sont menteurs, inconstants, faux, hypocrites et orgueilleux. »",Qui changent facilement de sentiments ou de conduite.,"volages, changeants, instables","Alfred de Musset, On ne badine pas avec l’amour"
Hochet,« Cette bague n’est qu’un hochet d’enfant plein de souvenirs. »,Petit jouet attirant l’attention ; par extension objet de peu de valeur.,"jouet, babiole, colifichet","Alfred de Musset, On ne badine pas avec l’amour"
Appât,« Vous avez fait de Rosette un appât pour flatter votre orgueil blessé. »,Moyen destiné à attirer ou séduire quelqu’un.,"leurre, piège, amorce","Alfred de Musset, On ne badine pas avec l’amour"
Inestimable,« Cet inestimable bonheur que Dieu nous avait offert. »,Dont la valeur est trop grande pour être estimée.,"précieux, inappréciable, inestimé","Alfred de Musset, On ne badine pas avec l’amour"
Persiflage,« Votre ton de persiflage est déplacé. »,"Moquerie légère, ironique et souvent blessante.","raillerie, sarcasme, moquerie","Alfred de Musset, On ne badine pas avec l’amour"
Dispenses,« J’ai obtenu toutes les dispenses nécessaires pour ce mariage. »,Autorisations exceptionnelles dérogeant à une règle.,"permissions, dérogations, exemptions","Alfred de Musset, On ne badine pas avec l’amour"
Augure,« Voilà un commencement de mauvais augure. »,Signe annonciateur d’un événement futur.,"présage, présomption, signe","Alfred de Musset, On ne badine pas avec l’amour"
Inexorable,« Votre cœur est inexorablement fait pour aimer. »,"Qui ne peut être arrêté, adouci ou détourné.","implacable, inflexible, irrévocable","Alfred de Musset, On ne badine pas avec l’amour"
Meurtrier,"« Mon Dieu, ne faites pas de moi un meurtrier ! »",Celui qui tue ou cause la mort d’autrui.,"assassin, homicide, criminel","Alfred de Musset, On ne badine pas avec l’amour"
Insensés,« Nous avons été des insensés. »,Qui manque de raison ou de jugement.,"fous, déraisonnables, inconsidérés","Alfred de Musset, On ne badine pas avec l’amour"
Affadi,« Un sang affadi par les leçons empoisonnées des couvents. »,"Qui a perdu sa vigueur, sa saveur ou son énergie.","émoussé, terni, amolli","Alfred de Musset, On ne badine pas avec l’amour"
Mutilation,« Cette mutilation symbolique de sa jeunesse. »,Action de retrancher ou d’altérer une partie essentielle.,"amputation, altération, retranchement","Alfred de Musset, On ne badine pas avec l’amour"
Décharnés,« Ces femmes qui se serrent contre des corps décharnés. »,"Très maigres, réduits à la peau et aux os.","squelettiques, émaciés, maigres","Alfred de Musset, On ne badine pas avec l’amour"
Tocsin,« Sonner le tocsin de leur désespoir. »,Cloche d’alarme annonçant un danger.,"alarme, signal, avertissement","Alfred de Musset, On ne badine pas avec l’amour"
Fange,« Les hommes rampent sur des montagnes de fange. »,"Boue sale ; au figuré, corruption morale.","bourbier, ordure, souillure","Alfred de Musset, On ne badine pas avec l’amour"
Bélître,« Ce bélître est indigne de ma confiance. »,"Homme méprisable, sans valeur.","gredin, vaurien, misérable","Alfred de Musset, On ne badine pas avec l’amour"
Abîme,« Dieu a tiré pour nous une perle du fond de l’abîme. »,"Profondeur immense, réelle ou figurée.","gouffre, profondeur, précipice","Alfred de Musset, On ne badine pas avec l’amour"
Exècrent,« Ils finiront par s’exécrer. »,Se détester profondément.,"haïr, abhorrer, détester","Alfred de Musset, On ne badine pas avec l’amour"
Cuistreries,« Les cuistreries et les pédantismes de toute espèce se croisent. »,Manifestations de pédantisme ridicule.,"pédantismes, prétentions savantes, suffisances","Alfred de Musset, On ne badine pas avec l’amour"
Pécore,"« Dame Pluche, quelle pécore ! »","Femme sotte, ridicule ou prétentieuse.","sotte, dinde, ignorante","Alfred de Musset, On ne badine pas avec l’amour"
Solécismes,« Plusieurs mots latins n’étaient que de grossiers solécismes. »,Fautes contre les règles de la syntaxe.,"barbarismes, incorrections, fautes grammaticales","Alfred de Musset, On ne badine pas avec l’amour"
